Seed Number,Area ,Perimeter ,Length ,Width ,Length in Y ,Width in X ,Centroid X ,Centroid Y ,Ave Radial ,Radial Var ,CMRV ,Circular. ,Elongation ,S. Factor ,Germination
1,0.363,2.518,0.8413,0.7015,0.8391,0.5612,2.6275,3.4617,0.341,0.0029,159.0565,0.8081,0.8338,1.1789,Y
2,0.3764,2.5368,0.8564,0.5383,0.8445,0.5879,4.1828,3.2915,0.3475,0.0036,191.6506,0.8084,0.6286,1.1664,Y
3,0.443,2.7735,0.9631,0.5584,0.9567,0.6093,5.9954,3.1471,0.3774,0.0053,262.8771,0.7798,0.5798,1.1755,Y
4,0.3046,2.212,0.7777,0.4919,0.7162,0.5772,7.7553,3.1175,0.3154,0.0026,153.3528,0.8008,0.6325,1.1306,Y
5,0.4004,2.6502,0.8678,0.5568,0.8659,0.5772,9.4372,2.9214,0.3585,0.0032,166.5331,0.8227,0.6416,1.1815,Y
6,0.4321,2.6443,0.9139,0.5792,0.9086,0.5879,11.5263,2.8885,0.3731,0.0036,179.5052,0.8116,0.6338,1.1348,N
7,0.4289,2.6289,0.9554,0.8397,0.9514,0.5559,13.3598,2.6901,0.372,0.0048,241.4016,0.7735,0.8788,1.1323,N
8,0.4119,2.5598,0.9323,0.5584,0.9247,0.5666,15.0583,2.5873,0.3644,0.0042,215.791,0.7768,0.599,1.1251,Y
9,0.3472,2.3275,0.8271,0.5277,0.8178,0.5398,17.0541,2.4651,0.3339,0.003,169.2223,0.8039,0.638,1.1142,Y
10,0.416,2.5552,0.8867,0.7857,0.8819,0.5612,18.7154,2.4249,0.3651,0.0034,174.8169,0.8208,0.8861,1.1176,Y
11,0.4093,2.5403,0.9132,0.5565,0.914,0.5666,20.5735,2.3691,0.363,0.004,203.6572,0.7905,0.6094,1.1201,Y
12,0.4278,2.6959,0.9131,0.8402,0.9033,0.6147,22.355,2.2173,0.3711,0.0031,155.3022,0.8083,0.9202,1.1627,N
13,0.2996,2.1687,0.7104,0.5307,0.7002,0.5933,24.125,2.225,0.3086,0.0011,66.6795,0.8694,0.7471,1.1178,Y
14,0.4424,2.687,0.9341,0.6063,0.9247,0.6414,25.9837,2.313,0.378,0.0037,184.2291,0.8034,0.6491,1.1396,N
15,0.3929,2.4276,0.7674,0.6935,0.7322,0.7429,27.9491,2.3515,0.3533,0.0005,28.4257,0.9217,0.9038,1.0925,Y
16,0.4272,2.7365,0.9147,0.8022,0.9086,0.5879,2.338,5.0745,0.3717,0.0036,182.6959,0.8063,0.8769,1.1811,Y
17,0.3443,2.382,0.8124,0.7184,0.8017,0.5398,4.2983,4.7972,0.3319,0.0025,139.3724,0.815,0.8843,1.1452,Y
18,0.3911,2.7024,0.9214,0.5178,0.9086,0.5719,6.0209,4.8057,0.357,0.0052,271.1362,0.7659,0.562,1.2189,Y
19,0.4231,2.6828,0.9178,0.5669,0.8979,0.6307,7.7561,4.7105,0.3705,0.0039,197.4865,0.7996,0.6177,1.1636,Y
20,0.3201,2.3414,0.8156,0.4893,0.8071,0.5024,9.5009,4.6567,0.3204,0.0033,194.1173,0.7828,0.6,1.1674,Y
21,0.3517,2.4125,0.8333,0.5112,0.8231,0.5291,11.4926,4.5416,0.3356,0.0032,179.3414,0.8031,0.6134,1.1475,Y
22,0.2857,2.1237,0.7332,0.4821,0.7322,0.4917,13.4847,4.4659,0.3031,0.0022,138.5689,0.8226,0.6575,1.1208,Y
23,0.355,2.3262,0.8169,0.5405,0.8017,0.5452,15.3459,4.3287,0.3366,0.0024,134.3824,0.823,0.6616,1.1014,N
24,0.3407,2.313,0.7726,0.5378,0.7643,0.5345,17.2488,4.299,0.33,0.0019,105.1938,0.8525,0.6961,1.1179,Y
25,0.3924,2.4485,0.8449,0.5874,0.8338,0.62,18.8667,4.1865,0.3547,0.0023,121.4695,0.8366,0.6952,1.1026,N
26,0.4205,2.6479,0.9434,0.8159,0.9407,0.5505,20.6235,4.1499,0.3684,0.005,254.6585,0.7757,0.8648,1.1519,N
27,0.3884,2.4813,0.8309,0.6033,0.8124,0.6093,22.618,4.1186,0.3514,0.0016,82.8971,0.8463,0.726,1.1231,N
28,0.4139,2.5535,0.8983,0.5672,0.8979,0.5772,24.4552,3.965,0.3638,0.0033,167.3792,0.808,0.6314,1.1197,Y
29,0.3631,2.6042,0.8497,0.5362,0.8445,0.5398,26.1696,4.0979,0.3348,0.0037,209.0044,0.8002,0.631,1.2191,Y
30,0.4039,2.5645,0.8958,0.818,0.8766,0.6093,28.1773,4.0508,0.3623,0.0035,179.0384,0.8005,0.9132,1.1383,Y
31,0.3536,2.5086,0.8444,0.5207,0.8391,0.5398,2.4111,6.9967,0.3378,0.0035,191.6104,0.7946,0.6166,1.1901,Y
32,0.3055,2.2404,0.7485,0.4959,0.7376,0.5291,4.4424,6.8616,0.3124,0.002,120.9074,0.8333,0.6625,1.1434,Y
