Seed Number,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83,B84,B85,B86,B87,B88,B89,B90,B91,B92,B93,B94,B95,B96,B97,B98,B99,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123,B124,B125,B126,B127,B128,B129,B130,B131,B132,B133,B134,B135,B136,B137,B138,B139,B140,B141,B142,B143,B144,B145,B146,B147,B148,B149,B150,B151,B152,B153,B154,B155,B156,B157,B158,B159,B160,B161,B162,B163,B164,B165,B166,B167,B168,B169,B170,B171,B172,B173,B174,B175,B176,B177,B178,B179,B180,B181,B182,B183,B184,B185,B186,B187,B188,B189,B190,B191,B192,B193,B194,B195,B196,B197,B198,B199,B200,B201,B202,B203,B204,Germination
1,0.878803222,0.738351,0.605263,0.530864222,0.472221889,0.431261778,0.404513889,0.369979333,0.353801,0.329218,0.319752889,0.298185556,0.278296889,0.258088333,0.246528,0.231015222,0.222222333,0.205180667,0.196566333,0.190307333,0.182222222,0.178196778,0.170670778,0.167858889,0.160718778,0.155953333,0.153332778,0.152234,0.148148222,0.142394778,0.140854556,0.137254889,0.132216111,0.129137111,0.126378333,0.120280333,0.121141889,0.118977333,0.114947444,0.114035,0.110680333,0.108843556,0.108725889,0.108227667,0.106636778,0.105473778,0.104221889,0.104059,0.102215333,0.100504,0.09989,0.098516222,0.098403778,0.097243667,0.097278667,0.096759889,0.097076,0.096843667,0.095746111,0.095194,0.094999556,0.094962111,0.095922111,0.095202444,0.096827444,0.098137333,0.100341667,0.102305889,0.106475889,0.110517778,0.116711111,0.123133333,0.131363889,0.140136,0.150748444,0.162878778,0.174494778,0.186503889,0.199191333,0.211821333,0.222691,0.236379778,0.246354667,0.258783444,0.270087222,0.282600556,0.290868,0.304517444,0.314814778,0.326871889,0.335876778,0.346445111,0.355453222,0.364419,0.371466556,0.380656,0.392687222,0.399633222,0.409825333,0.424087111,0.436911444,0.448094,0.460410889,0.471947222,0.481435333,0.490197111,0.498284,0.506729111,0.515561556,0.526525222,0.535159889,0.542056778,0.548987222,0.556976,0.564214,0.572136333,0.579494889,0.588166111,0.593465111,0.601368778,0.607843111,0.616504889,0.623762444,0.630565111,0.634322556,0.640097,0.644651556,0.655151333,0.659194667,0.666877889,0.674016444,0.679061333,0.684529667,0.687457,0.692782667,0.700630778,0.704534222,0.709834,0.708561,0.713029444,0.718726778,0.7225,0.725206,0.731607,0.733393,0.735314111,0.742792111,0.743863,0.749008,0.75,0.754861111,0.757966667,0.757977222,0.758587889,0.765902667,0.763274667,0.772619111,0.772648778,0.779954556,0.774909889,0.777777889,0.774236444,0.776870889,0.779821,0.786361556,0.785301889,0.787833111,0.785565889,0.789529889,0.787678778,0.785755,0.787184222,0.786508333,0.781544333,0.779069889,0.786004667,0.783989,0.788043667,0.788451444,0.794636111,0.801277778,0.796992556,0.795139222,0.803463778,0.805817111,0.804326444,0.803498,0.797496111,0.801953,0.804678333,0.793651,0.794380444,0.791540222,0.800876222,0.791651667,0.788889,0.787167222,0.791666667,0.791226444,0.808966889,0.802469,0.808279,0.801162222,0.767676667,Y
2,0.796581222,0.691755889,0.576023222,0.496296333,0.440799444,0.403013222,0.375,0.357257889,0.336257,0.318394667,0.298640667,0.277777556,0.271027889,0.253331778,0.237847444,0.226219111,0.217071556,0.207907333,0.198474667,0.192671222,0.187777778,0.182389667,0.180180222,0.174785778,0.173497222,0.165141444,0.167291,0.158742778,0.157397889,0.155339778,0.150575,0.149019667,0.145561889,0.141252889,0.140797333,0.136243111,0.133334222,0.132006,0.127375778,0.127530333,0.124677,0.123273444,0.120850889,0.119761556,0.118568333,0.116930333,0.115704,0.114723,0.113293,0.112258222,0.109124222,0.109266667,0.108786667,0.107901556,0.107247778,0.108004111,0.105994,0.107508,0.106416333,0.107016889,0.106422778,0.107522333,0.108921667,0.108894333,0.111111111,0.113500444,0.116364444,0.119745222,0.126303667,0.132107444,0.140766333,0.149582333,0.161111222,0.175578111,0.191644556,0.208585778,0.225505,0.244501556,0.262956889,0.281963444,0.300570778,0.318164556,0.337597,0.355555556,0.373102333,0.393837,0.409745778,0.430980556,0.449861444,0.469023222,0.483500667,0.501589333,0.516558111,0.531791889,0.546800667,0.559315556,0.571393111,0.583595444,0.595178444,0.609220778,0.622410556,0.628818444,0.641371,0.652227667,0.661817556,0.669608778,0.678163111,0.683727556,0.690087889,0.701002111,0.706032222,0.712842889,0.717115444,0.725063111,0.731441667,0.737220667,0.737989,0.747856667,0.754683333,0.757355444,0.757330667,0.767170111,0.769403,0.773849556,0.776826667,0.777455,0.783125333,0.788484889,0.793089222,0.791508333,0.798826778,0.801018111,0.804522333,0.806191,0.810541333,0.810286333,0.812519333,0.815325889,0.816142667,0.817721444,0.820533667,0.821944444,0.822677,0.826343333,0.826630778,0.828268333,0.830499667,0.828494889,0.828042222,0.829606889,0.834722222,0.832090667,0.834241556,0.836676444,0.839990333,0.839349,0.831746111,0.840227,0.844942,0.842239222,0.844848,0.840637333,0.841063556,0.844043667,0.840248,0.842878111,0.839618111,0.842159889,0.839209556,0.836083667,0.831908778,0.834215333,0.827565444,0.826114111,0.828811111,0.831994444,0.828847444,0.827240111,0.831101,0.828352556,0.830535667,0.842535556,0.835937556,0.845528444,0.837099778,0.841691111,0.840534889,0.836009444,0.832222222,0.829239889,0.830864222,0.828863222,0.824631667,0.829059778,0.822882889,0.814442222,0.803604444,0.814236111,0.813175667,0.818713444,0.822035889,0.832243778,0.809523889,0.776133222,Y
3,0.814016889,0.695340111,0.587719222,0.501234556,0.442936333,0.401129778,0.378472222,0.346077667,0.339181,0.311552667,0.288708667,0.274376222,0.262720444,0.239037778,0.229166667,0.215027889,0.208241444,0.197000667,0.187648111,0.181442111,0.173333333,0.168762778,0.167167,0.162368556,0.159380778,0.154248444,0.151061,0.146476667,0.143019778,0.139518111,0.137235444,0.133660111,0.130043444,0.127659556,0.123833667,0.121160778,0.119175,0.116519111,0.112594556,0.112685333,0.110034333,0.108637333,0.105545667,0.105920889,0.104586222,0.103473444,0.101748667,0.100791,0.099697889,0.098000667,0.096066333,0.097247,0.095769444,0.097050333,0.095216889,0.094244667,0.094298222,0.094105556,0.094465889,0.094451444,0.093467222,0.093995889,0.094827444,0.094385222,0.095679222,0.097570444,0.098896889,0.100350444,0.104802444,0.108469444,0.114038222,0.121488333,0.129545556,0.139173333,0.151881,0.165782889,0.182323222,0.196865444,0.213033111,0.230213,0.248197,0.266338111,0.283044778,0.299184,0.319155333,0.338719889,0.356507556,0.373977333,0.393928,0.411503889,0.429550667,0.446394778,0.462728444,0.476814222,0.494142,0.509788667,0.523624333,0.538784222,0.550568667,0.565906111,0.579365111,0.590024333,0.600707,0.613311333,0.623579889,0.633009556,0.643809667,0.654623667,0.663028556,0.673445222,0.679238889,0.685778333,0.691891,0.704387556,0.709476,0.716968111,0.722469778,0.730206667,0.738679444,0.741779111,0.746378,0.755124222,0.760409889,0.766367222,0.770928333,0.773962333,0.779560222,0.782828222,0.785847222,0.788762111,0.796884222,0.800354333,0.806326444,0.806884,0.810303778,0.814167889,0.819250556,0.819157222,0.821355,0.822262,0.826797111,0.827222222,0.828076111,0.829252889,0.832290667,0.838084556,0.838046667,0.833654444,0.839285667,0.842479778,0.839583333,0.843805222,0.845132444,0.844848222,0.851766778,0.848658111,0.846428444,0.850770444,0.848673333,0.852841222,0.854849333,0.854803222,0.853317778,0.852884667,0.855508,0.856094,0.853192667,0.855140111,0.847756444,0.844884444,0.844444333,0.841857889,0.842137444,0.843063333,0.843669,0.834002556,0.846791,0.841577111,0.842988,0.846743222,0.848921,0.844238111,0.854166889,0.854562,0.854048889,0.848574333,0.855967,0.850997778,0.848888889,0.847953333,0.849274333,0.846743333,0.844712,0.846009444,0.837817667,0.836418333,0.813457,0.835069444,0.833333556,0.834307778,0.836478111,0.840958444,0.834467333,0.783709333,Y
4,0.774529889,0.698924333,0.573099333,0.516049222,0.459401556,0.414312778,0.404513889,0.374741333,0.353801111,0.334688444,0.318518556,0.298185778,0.284527444,0.264736,0.252604333,0.239808222,0.223693889,0.217450667,0.204178,0.198581556,0.188333333,0.182389667,0.179679889,0.174534889,0.165754111,0.16339,0.161244222,0.156583556,0.151927444,0.149946111,0.146324778,0.143464,0.137181778,0.134751556,0.133729111,0.127831667,0.126543111,0.124631444,0.122213778,0.119433222,0.118001667,0.116058667,0.114887778,0.113802444,0.110924667,0.112020444,0.110228,0.109047,0.107754333,0.105589556,0.104077222,0.104049222,0.103982667,0.102903333,0.102992111,0.102382,0.101608222,0.101599556,0.100725444,0.100280556,0.099595667,0.100483,0.099753667,0.100082889,0.100454778,0.102654111,0.104413,0.105689667,0.109308444,0.113327667,0.120529444,0.128068778,0.136794111,0.148221,0.161821889,0.177651556,0.194318222,0.210385667,0.228917444,0.246828889,0.265937778,0.284540556,0.302328667,0.319776444,0.338110556,0.357008667,0.373543778,0.393481778,0.413328333,0.431901778,0.445637667,0.464132667,0.478583222,0.495183111,0.508171222,0.522105778,0.536772667,0.548873222,0.564388889,0.578420889,0.596852444,0.610705667,0.623131444,0.634213333,0.646300889,0.655745444,0.663243889,0.670380222,0.682373556,0.689802667,0.694198444,0.701082222,0.708296556,0.717645222,0.719416667,0.726883,0.73089,0.737603,0.742767444,0.746646,0.752870556,0.757461444,0.759075889,0.767863778,0.771499222,0.769517333,0.773659444,0.779595889,0.780515,0.782425,0.789451,0.791943333,0.793978444,0.79441,0.799382778,0.80131,0.806178222,0.805619333,0.809523778,0.809219333,0.811945111,0.810833333,0.813867444,0.816618111,0.816800778,0.820186667,0.820475222,0.817183444,0.820436444,0.824525778,0.828125,0.826893556,0.823197,0.827549889,0.829762,0.829249333,0.831746,0.829074667,0.832661,0.834772889,0.836805667,0.833997333,0.830839111,0.830116111,0.831187444,0.834810444,0.829562556,0.833333222,0.828525556,0.823982556,0.823361778,0.828336444,0.824826444,0.826114333,0.822997333,0.828246444,0.824016556,0.822314111,0.823355667,0.824521,0.830929444,0.830409222,0.830729444,0.833340778,0.837051667,0.841691222,0.837448778,0.826435556,0.822054,0.824561444,0.830281,0.827586111,0.819783222,0.813642889,0.819959889,0.819047444,0.808701667,0.814236111,0.807711111,0.820662778,0.816872333,0.827886667,0.817224222,0.770202111,Y
5,0.735897333,0.645161,0.535088,0.461728333,0.406401889,0.369114556,0.354166667,0.325327889,0.311403444,0.289772222,0.27259,0.256235778,0.242990667,0.223802111,0.220486333,0.206235111,0.197203667,0.189502333,0.178752,0.174349889,0.167777778,0.164045778,0.161161222,0.154255667,0.151373222,0.149633667,0.147901,0.144721,0.141513222,0.136641667,0.134359,0.132352667,0.129733111,0.127364,0.124964667,0.120983111,0.120469333,0.118977222,0.114474222,0.114485,0.113479667,0.111523667,0.111111111,0.109765556,0.109247,0.107837667,0.107048222,0.106467,0.105572222,0.104228,0.102198333,0.102310556,0.102278,0.101482444,0.101187778,0.100754667,0.099853889,0.100446444,0.100441,0.100663444,0.100053556,0.101449333,0.101532333,0.101976,0.103497667,0.104606444,0.107564889,0.110765333,0.114587333,0.120482,0.126766,0.135155667,0.144366,0.154342,0.167610111,0.181186889,0.195833111,0.209424333,0.225739111,0.241374889,0.254910222,0.270004,0.282138222,0.297950667,0.311990222,0.325817111,0.340473667,0.356486556,0.368984444,0.384391222,0.395670111,0.411187111,0.424370333,0.435581222,0.447952333,0.460910222,0.471221444,0.482311333,0.495701,0.507327556,0.518025111,0.530954222,0.539715333,0.549642333,0.561097222,0.567426667,0.576415444,0.586093111,0.594095333,0.603153667,0.610086222,0.617739,0.623181778,0.631312889,0.637807,0.647580333,0.653789,0.660447222,0.664788778,0.671512667,0.676382222,0.684465889,0.690895778,0.696595667,0.700913222,0.704311667,0.707863111,0.713535333,0.721084333,0.722855889,0.726761778,0.731961,0.736050111,0.740125,0.743827222,0.745511889,0.749206444,0.751979556,0.756440222,0.75468,0.759316333,0.764166667,0.763569333,0.768380111,0.770926444,0.772984333,0.775138778,0.774752,0.778769778,0.782181556,0.779166667,0.786652444,0.780914556,0.784226444,0.791096,0.786213778,0.790476111,0.793711778,0.793947,0.788380222,0.797309222,0.796812889,0.797020556,0.794236778,0.797806333,0.796544556,0.795877444,0.791277111,0.791132556,0.791529222,0.789743667,0.785420556,0.785240667,0.784683111,0.783591889,0.783801889,0.783988889,0.784022778,0.787263556,0.781609111,0.789206222,0.794486111,0.792535,0.793430889,0.796916222,0.798426778,0.802469222,0.804954111,0.800381667,0.792982444,0.785578778,0.784163556,0.785809889,0.781077667,0.776676667,0.775631556,0.773851444,0.770833333,0.761839778,0.779727333,0.788881222,0.799564556,0.780045222,0.730385222,Y
6,0.800683667,0.673834778,0.552631889,0.481481667,0.425716444,0.387947,0.364583333,0.331722889,0.323099,0.302017444,0.278832222,0.260770889,0.251297889,0.233315111,0.217014222,0.210231667,0.196468111,0.188139,0.183203889,0.178487,0.17,0.168238667,0.160660778,0.156631778,0.152298889,0.150523889,0.148329667,0.148279889,0.142635444,0.140237333,0.136752333,0.13366,0.131285111,0.126477556,0.125812889,0.121799778,0.120202111,0.117502667,0.116114,0.112235667,0.112403,0.110698889,0.109918444,0.108227778,0.108128333,0.107110333,0.105281778,0.104059,0.103222667,0.100786667,0.098806333,0.099304111,0.099333667,0.098884444,0.098481556,0.098091556,0.097514667,0.097708333,0.098022444,0.098122222,0.097407778,0.098688778,0.099069556,0.100353222,0.102161111,0.103942667,0.106908333,0.109592667,0.114973667,0.120608889,0.127657,0.136168111,0.145130222,0.156743778,0.169875222,0.182449444,0.196717111,0.211065667,0.224086111,0.238204,0.252498333,0.267096667,0.279262111,0.295054556,0.307982333,0.321057111,0.336214556,0.351201444,0.366087333,0.380083667,0.392105333,0.406234889,0.419128222,0.431984444,0.441652556,0.454687,0.464451333,0.478118444,0.488555444,0.500399667,0.511702889,0.521086778,0.531428556,0.540841444,0.549321333,0.557053111,0.565347,0.574767,0.582460778,0.592396222,0.596315222,0.606270889,0.613122778,0.619949444,0.626583667,0.634834222,0.639755667,0.646831444,0.652014333,0.661993778,0.666666667,0.673318778,0.681156556,0.685559444,0.687214556,0.690534556,0.697563667,0.703232333,0.709290444,0.710815444,0.718547333,0.720008778,0.724069444,0.728113,0.731956111,0.736293,0.736222111,0.743294889,0.744730444,0.750127333,0.753067333,0.753333333,0.752202222,0.757577444,0.759010889,0.759808778,0.764155,0.767666778,0.767857333,0.773374222,0.773958333,0.772808,0.773663111,0.781231333,0.781583111,0.779196333,0.780555556,0.785628222,0.788142667,0.784987444,0.787760667,0.781762,0.783366889,0.787247556,0.783500222,0.785789222,0.787833111,0.781931444,0.782585667,0.783828444,0.784615444,0.778953778,0.776776889,0.779661111,0.77584,0.778447111,0.775017333,0.776817444,0.781978667,0.781609222,0.787653889,0.784461,0.785590556,0.788040556,0.791322667,0.791543889,0.797325222,0.794228889,0.780426556,0.785964778,0.776950333,0.782886222,0.776439111,0.773991222,0.776796778,0.778828444,0.767339778,0.770833333,0.769216667,0.781676667,0.782591778,0.786492556,0.780045111,0.732851889,N
7,0.774871889,0.648745222,0.540935889,0.474074333,0.419306333,0.384180333,0.357638889,0.326915111,0.311403333,0.296580667,0.275031333,0.261904667,0.245067667,0.231424111,0.213542,0.207833667,0.196467667,0.186094,0.176208889,0.173168,0.168333333,0.161949333,0.155655667,0.153287333,0.149559333,0.145283222,0.142077778,0.139580667,0.136963778,0.134484111,0.131624222,0.129084889,0.126319,0.121158444,0.121006333,0.115600444,0.114541667,0.113077667,0.110720111,0.109086889,0.108311667,0.106988444,0.103557889,0.104383,0.102721667,0.102018556,0.100512222,0.099931,0.098858778,0.097345111,0.095583667,0.095035667,0.095769556,0.095674778,0.095023444,0.094540667,0.094298333,0.094249667,0.093185333,0.093322,0.092946778,0.094271889,0.094964444,0.094386444,0.096522111,0.097039667,0.100078889,0.102304556,0.105961111,0.112304444,0.118493,0.125284667,0.134645667,0.145114444,0.158802,0.172348556,0.186868556,0.200708222,0.215956222,0.231608222,0.244783222,0.260902444,0.274869333,0.287526111,0.302710222,0.319428889,0.330828,0.347426778,0.361803889,0.376662889,0.387536556,0.401272,0.415420111,0.427617111,0.439205889,0.451964222,0.462498889,0.476022,0.486305222,0.495070556,0.506860333,0.516491,0.528841889,0.536991,0.544333667,0.554530556,0.564637556,0.572473,0.580715556,0.592101333,0.593473111,0.603212778,0.610646889,0.620738333,0.625461333,0.634835556,0.640911333,0.646831333,0.652526111,0.659397667,0.665783444,0.673498778,0.680059556,0.684062889,0.687785222,0.692862556,0.697959889,0.702626333,0.705358889,0.712927667,0.717250333,0.720894333,0.726554778,0.730423,0.734805333,0.738233889,0.741710889,0.745593889,0.749154333,0.751463556,0.754699333,0.757222222,0.757033222,0.762238889,0.761096333,0.764405333,0.767924222,0.771216778,0.773809444,0.779471778,0.775,0.774937889,0.776928778,0.781233778,0.786910111,0.782697,0.786111222,0.784808222,0.789386333,0.788804,0.790364667,0.790615333,0.791093222,0.791912333,0.792084,0.788227778,0.789341444,0.793873222,0.785256333,0.781628222,0.782336111,0.787184222,0.781614333,0.775894444,0.774548,0.777777889,0.781228444,0.774680667,0.782003556,0.790804556,0.787665333,0.791144444,0.794271111,0.793482667,0.797913889,0.785644111,0.792181111,0.798543778,0.793737444,0.787134444,0.789173889,0.784163333,0.772423111,0.776786,0.776776778,0.770959222,0.765730111,0.772569444,0.767364778,0.775828444,0.776341333,0.784313889,0.768707333,0.732793111,N
8,0.748888889,0.634408333,0.532164,0.469136,0.412854111,0.363464889,0.345486111,0.318932667,0.308479778,0.281592,0.260216556,0.246031778,0.233644889,0.216172111,0.201389222,0.190247667,0.182486778,0.170415667,0.162203889,0.154846333,0.147777778,0.144129556,0.139139222,0.135149889,0.129496556,0.127392556,0.124995889,0.123764222,0.117294778,0.114347333,0.111111,0.108496778,0.105214222,0.101654889,0.099519444,0.096466444,0.093438667,0.093166222,0.089370667,0.089293889,0.086993667,0.085137,0.084277333,0.082660444,0.082214778,0.081105556,0.080904444,0.079463,0.079389111,0.077679667,0.076726111,0.076057444,0.076398556,0.074736222,0.075928444,0.073531556,0.074269,0.074794667,0.073694556,0.073979778,0.073300556,0.074258333,0.074165,0.073905556,0.074907222,0.076861889,0.077882667,0.080045667,0.083816,0.086749889,0.092528889,0.099088889,0.106476778,0.114777,0.126966222,0.139772667,0.153535333,0.166223667,0.179369,0.194317667,0.208857889,0.221084444,0.235349889,0.249500667,0.263676444,0.278967889,0.292246,0.307914778,0.322121333,0.337134333,0.348693667,0.361829889,0.375399556,0.389081444,0.400952111,0.411772333,0.423828444,0.434879444,0.447135,0.459499222,0.470540667,0.479994444,0.491699778,0.499449889,0.509005333,0.518642222,0.526607,0.535913889,0.543484556,0.553492444,0.559946444,0.568806444,0.574435111,0.583017667,0.588424333,0.597620444,0.603434,0.608505556,0.613353111,0.622360778,0.626921,0.632686,0.640255,0.645342444,0.648972667,0.651918111,0.658942444,0.664848556,0.666873444,0.670257667,0.677475222,0.683267,0.685197333,0.689536,0.693257333,0.697234333,0.700829667,0.707024222,0.706739444,0.706407889,0.711626667,0.710277778,0.714407444,0.717082889,0.717903,0.721508556,0.724203333,0.72538,0.730820111,0.731368556,0.731597222,0.730564444,0.733765889,0.737123889,0.737062222,0.737307333,0.739682444,0.742979333,0.745854111,0.747667444,0.746961778,0.740593333,0.741156444,0.744881222,0.744396778,0.745069556,0.745600778,0.738837111,0.741987111,0.741474111,0.739031333,0.741328889,0.739633111,0.736346556,0.732558,0.741633333,0.735679778,0.738231667,0.737375,0.738697111,0.742750778,0.741854667,0.751736333,0.746323667,0.749738556,0.749262556,0.755144,0.751348667,0.742424333,0.747368333,0.747551444,0.739463667,0.737617222,0.741516,0.735035222,0.734585222,0.734245556,0.739583333,0.730661778,0.740740667,0.741323111,0.747276667,0.736961556,0.689569889,Y
9,0.783418778,0.673834778,0.564327444,0.493827222,0.435897667,0.399246778,0.371527778,0.344444444,0.328947,0.303272,0.292592667,0.272108667,0.253374778,0.234264778,0.223958556,0.206235111,0.201618889,0.189502333,0.176197889,0.172576778,0.165555556,0.158280556,0.154654667,0.149737889,0.143832333,0.140229222,0.137082667,0.136417556,0.132653111,0.128730667,0.123760778,0.121241889,0.119180556,0.116134667,0.11309,0.107874889,0.106224222,0.104228,0.101809111,0.100989667,0.100129,0.097918,0.096203556,0.095155889,0.094891889,0.094199,0.092916556,0.091503,0.091473556,0.089847,0.089095556,0.088238111,0.088485889,0.086845667,0.085851667,0.086255556,0.085672556,0.085747111,0.086071889,0.085165667,0.084970556,0.085024333,0.085796222,0.085573111,0.086084,0.088177556,0.090359667,0.092023556,0.096047444,0.101062444,0.106783778,0.114654444,0.123279556,0.133563778,0.146973667,0.161489889,0.177146444,0.192442667,0.209479556,0.226661667,0.242922667,0.260523222,0.275723667,0.293171444,0.308991111,0.328949111,0.345484333,0.365420778,0.382968,0.400608222,0.415181,0.431303667,0.447257333,0.461528556,0.475190444,0.489433444,0.500587333,0.513496,0.525346778,0.538576222,0.549502222,0.558394333,0.569389333,0.578932778,0.588113,0.594484222,0.601211222,0.610575333,0.616201333,0.626436667,0.629116667,0.635634222,0.639871889,0.646622444,0.651595667,0.657678667,0.660062778,0.667507222,0.671605889,0.675486444,0.677088889,0.684106222,0.684818444,0.691732111,0.695015222,0.696558111,0.701137444,0.702828222,0.703920778,0.708703,0.711846111,0.715582222,0.717093,0.718642,0.720797667,0.723435111,0.72571,0.732822556,0.728077111,0.732480667,0.732355333,0.734166667,0.733447111,0.736840444,0.737861222,0.737758222,0.740270333,0.739987,0.742724778,0.743224889,0.744097222,0.745538667,0.744570556,0.74562,0.748407778,0.749311556,0.749603222,0.750314222,0.752150667,0.749861,0.757378667,0.749446667,0.751927444,0.746756444,0.752026667,0.752944556,0.747109111,0.746625111,0.748397444,0.740373889,0.742450222,0.740153111,0.739066111,0.738857556,0.735788,0.738404111,0.739130667,0.730208556,0.737966778,0.739463556,0.741186667,0.745196333,0.742187778,0.747293667,0.741416889,0.746312778,0.751028778,0.746048222,0.740437889,0.738011667,0.741148,0.739463444,0.735168444,0.735890222,0.726186222,0.723809444,0.727758222,0.725694444,0.730722444,0.738791333,0.726337444,0.736383333,0.725907111,0.691919111,Y
10,0.765812,0.659497889,0.535088,0.466666778,0.421485,0.378530889,0.350694444,0.336507778,0.312865667,0.297952556,0.276543444,0.258503333,0.242990667,0.228869667,0.217014111,0.202238444,0.193524556,0.183367333,0.175872889,0.169030889,0.161111111,0.154852778,0.151651889,0.147353556,0.142005333,0.138925556,0.137082556,0.132859,0.130385444,0.128371222,0.125128333,0.122549,0.118559778,0.116430222,0.113655667,0.110751889,0.108796333,0.106440667,0.104782222,0.102788889,0.102928333,0.100804,0.099383889,0.098423778,0.097874889,0.096431889,0.096096111,0.095287,0.093487667,0.092801778,0.093880667,0.091512444,0.091740111,0.090979222,0.090100222,0.089954222,0.090643111,0.090214556,0.089770889,0.089406778,0.089009778,0.089579,0.090312111,0.090452111,0.091592778,0.092865222,0.095613667,0.098230667,0.101712444,0.106002444,0.111238333,0.118071333,0.125300222,0.134317889,0.145337667,0.156496889,0.168244111,0.179361333,0.192579778,0.204337889,0.215775556,0.227783889,0.237828222,0.249246222,0.260947,0.271827556,0.283727889,0.295331667,0.307004333,0.318256667,0.329021,0.340074889,0.349571556,0.360436556,0.369284111,0.380656222,0.390343111,0.398584889,0.407671889,0.420233556,0.430723667,0.440524333,0.448843889,0.457095667,0.465832889,0.475129444,0.481971778,0.491395111,0.500581667,0.510609889,0.515111111,0.523154556,0.529186222,0.541351,0.543691222,0.555667222,0.560013333,0.566145444,0.573204222,0.581128111,0.589825,0.596368333,0.601577,0.608679444,0.613169333,0.614698444,0.624259556,0.630505,0.635818778,0.642163111,0.648292222,0.653165222,0.657857667,0.663202,0.666904111,0.669818889,0.676382667,0.680715111,0.684881667,0.686661556,0.690109333,0.693055556,0.694515556,0.698661889,0.701519222,0.709213222,0.710024,0.712855222,0.718584556,0.719556667,0.725399556,0.722814889,0.724277778,0.728658444,0.735004,0.732242111,0.739285667,0.740968111,0.738902222,0.742258444,0.745659889,0.743691778,0.747845778,0.746164444,0.750119222,0.749511556,0.745098111,0.747144333,0.747984556,0.742141778,0.746438889,0.747207778,0.740881,0.743251778,0.739664,0.738432333,0.746721889,0.742877556,0.748148111,0.747296667,0.752400889,0.752715111,0.750000333,0.757252667,0.751187333,0.760078778,0.758230556,0.758547222,0.753086667,0.760233889,0.744811,0.753512111,0.752685667,0.749648444,0.742602556,0.747261222,0.735684111,0.744791667,0.730752778,0.746588667,0.739110111,0.745098,0.732851667,0.699494778,Y
